time,atom0_x,atom0_y,atom0_z,atom0_vx,atom0_vy,atom0_vz,atom0_ax,atom0_ay,atom0_az,atom1_x,atom1_y,atom1_z,atom1_vx,atom1_vy,atom1_vz,atom1_ax,atom1_ay,atom1_az,pressure,PE,KE,temperature
3.48e-13,3e-10,0,0,-1.39891e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,6.4907e-300,1.5678e-277
3.51e-13,3e-10,0,0,-1.41097e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,6.60357e-300,1.59507e-277
3.54e-13,3e-10,0,0,-1.42303e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,6.71645e-300,1.62233e-277
3.57e-13,3e-10,0,0,-1.43509e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,6.83125e-300,1.65006e-277
3.59999e-13,3e-10,0,0,-1.44714e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,6.94605e-300,1.67779e-277
3.62999e-13,3e-10,0,0,-1.4592e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,7.06278e-300,1.70599e-277
3.65999e-13,3e-10,0,0,-1.47126e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,7.17952e-300,1.73418e-277
3.68999e-13,3e-10,0,0,-1.48332e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,7.29818e-300,1.76284e-277
3.71999e-13,3e-10,0,0,-1.49538e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,7.41684e-300,1.79151e-277
3.74999e-13,3e-10,0,0,-1.50744e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,7.53743e-300,1.82064e-277
3.77999e-13,3e-10,0,0,-1.5195e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,7.65802e-300,1.84976e-277
3.80999e-13,3e-10,0,0,-1.53156e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,7.78054e-300,1.87936e-277
